url,name,datasets
data.oxnard.org,"Open Data | City of Oxnard",27
data.cambridgema.gov,"
	Open Data - City of Cambridge, MA
",208
data.redmond.gov,"data.redmond.gov",75
insights.cincinnati-oh.gov,"CincyInsights",68
www.mdchildhungerpartnership.org,"The Partnership to End Childhood Hunger in Maryland | No Kid Hungry",17
data.govloop.com,"Home | GovLoop",145
ntia.data.commerce.gov,"Open Data | Socrata",31
mydata.iadb.org,"mydata | IDB | IADB",173
nist.data.commerce.gov,"Open Data | Socrata",9
data.brla.gov,"City of Baton Rouge - Open Data Portal | Open Data BR",145
data.healthcare.gov,"Data.Healthcare.gov",224
data.map.uncdf.org,"Homepage - United Nations",270
ita.data.commerce.gov,"Open Data | Socrata",31
data.cityofmadison.com,"City of Madison, Wisconsin",153
data.datamontana.us,"Data Portal | State of Montana",111
data.opendatanetwork.com,"OpenDataNetwork",309
data.mo.gov,"data.mo.gov | State of Missouri Data Portal",251
census.data.commerce.gov,"Open Data | Socrata",212
healthdata.nj.gov,"Socrata | Making Data Social",270
noaa.data.commerce.gov,"NOAA",18
data.cityofboston.gov,"City of Boston | Open Data",147
uspto.data.commerce.gov,"Open Data | Socrata",47
data.kcmo.org,"Open Data KC | data.kcmo.org",5165
datacatalog.cookcountyil.gov,"Cook County Open Data",508
data.somervillema.gov,"City of Somerville, MA",51
performance.cityofrc.us,"City of Rancho Cucamonga Gov Stat | City of Rancho Cucamonga Gov Stat",104
data.imls.gov,"Data Catalog",82
www.datossct.gob.mx,"SCT | Datos Abiertos | Open Data | Socrata",137
data.lacity.org,"DataLA: Information, Insights, and Analysis from the City of Angels | Los Angeles - Open Data Portal",488
data.maryland.gov,"Open Data | data.maryland.gov",1643
www.metrochicagodata.org,"MetroChicagoData",3
data.nola.gov,"Data.NOLA.gov",604
finances.worldbank.org,"World Bank Group Finances | Data | World Bank Group Finances",3014
researchdata.nist.gov,"NIST Socrata",20
data.consumerfinance.gov,"Consumer Complaint Database > Consumer Financial Protection Bureau",34
electionsdata.kingcounty.gov,"Results matching topic of elections | Page 1 of 46 | King County | Open Data",497
www.natsdatasct.gob.mx,"North American Transportation Statistics | NATS | Open Data | NATS
",201
stats.cityofcarrollton.com,"Carrollton - Open Data Portal | Carrollton - Open Data Portal",32
www.indicadores.pr,"Indicadores - Puerto Rico",57
data.debtwatch.treasurer.ca.gov,"California State Treasurer - John Chiang",141
bythenumbers.sco.ca.gov,"Government Financial Reports - California State Controller’s Office | Open Data | Socrata",138
data.collideosco.pe,"data.collideosco.pe",2
cohesiondata.ec.europa.eu,"Open Data Portal for the European Structural Investment Funds - European Commission | Socrata",557
dadesobertes.grupsagessa.cat,"Grup Sagessa | Dades Obertes | Open Data Portal",678
data.bathhacked.org,"Bath:Hacked data store | Bath: Hacked Data Store",316
analisi.transparenciacatalunya.cat,"Dades obertes de Catalunya",584
data.cdp.net,"CDP Open Data Portal | CDP Open Data Portal",200
data.sheffield.gov.uk,"Sheffield | Open Data | Sheffield | Open Data",354
observa.gijon.es,"Observa Gijón | Observa Gijón
",777
opendata.cheshireeast.gov.uk,"Cheshire East - Open Data Portal | Open Data Portal",162
data.theaudienceagency.org,"Data | The Audience Agency",42
gavaobert.gavaciutat.cat,"Gavà Ciutat | Dades Obertes | Open Data | Gava Ciutat",161
opendata.granollers.cat,"Granollers Open Data | Open Data Granollers
",237
dashboard.swindon.gov.uk,"Swindon Borough Council | Performance Dashboard | Swindon Borough Council",247
performance.westsussex.gov.uk,"West Sussex County Council | West Sussex County Council",182
opendata.terrassa.cat,"Open Data – Ajuntament de Terrassa | Open Data - Ajuntament de Terrassa",173
opendata.camden.gov.uk,"Camden Council | Open Data | Open Data Portal
",579
opendata.rdw.nl,"Open Data | RDW | Open Data | RDW",666
www2.oxopendata.uk,"Oxfordshire Open Data | Oxfordshire Open Data",75
reports.cdp.net,"Government Financial Reports App | 2015 Live City Reporting",2
opendata.rubi.cat,"Rubí Open Data | Open Data Rubí",63
performance.surreycc.gov.uk,"Surrey County Council Open Performance | Surrey County Council Open Performance",232
www.dati.friuliveneziagiulia.it,"Regione Autonoma Friuli Venezia Giulia | Open Data | Open Data | Regione Autonoma Friuli Venezia Giulia",298
opendata.l-h.cat,"Ajuntament de L'Hospitalet",47
www.dati.lombardia.it,"Open Data Regione Lombardia | Open Data Regione Lombardia",3084
opendata.bristol.gov.uk,"Open Data Bristol",362
portaltransparencia.diputaciolleida.cat,"Portal de Transparència – Diputació de Lleida | Portal de Transparència – Diputació de Lleida
",45
